Country Code,Country,Pillar 1,Pillar 2,Pillar 3,Pillar 4,Pillar 5,Pillar 6,Pillar 7,Pillar 8,Pillar 9,Pillar 10,Pillar 11,Pillar 12
IDN,Indonesia,4.091124216,4.188087865,5.497548335,5.593796177,4.45357265,4.432013736,3.739120575,4.194734947,3.488023538,5.741549966,4.346240282,3.935892947
IRN,"Iran, Islamic Rep.",3.575181148,4.159444667,4.784925972,6.048161211,4.313021139,3.990162993,3.152055189,2.774351986,3.172228039,5.243663514,3.517540536,3.140217823
IRL,Ireland,5.532961434,5.336381921,4.450796361,6.513123796,5.593897117,5.408600306,5.051798613,3.976053186,6.07951127,4.234611101,5.138670522,4.81239135
ISR,Israel,4.357712741,4.893052596,4.976568032,6.152628852,5.103112988,4.422611535,4.445810015,4.586208687,5.679922795,4.268396595,4.93385706,5.647246675
ITA,Italy,3.42155962,5.379102322,4.089490007,6.323313621,4.813517085,4.294038141,3.456338,3.24723802,4.899321226,5.609936652,4.835852262,3.857408036
JAM,Jamaica,3.736572533,3.737689872,3.44713401,5.712287703,4.050165513,4.271195029,4.280562633,4.422838026,3.542301484,2.800795808,3.951737783,3.291144441
JPN,Japan,5.513285269,6.205391307,3.674653793,6.683605514,5.413862661,5.237994445,4.803927042,4.70509787,5.722224358,6.102290666,5.774497883,5.538070366
JOR,Jordan,4.449897742,4.045750829,3.449126462,5.966019695,4.702329306,4.628337412,4.033803809,3.844463183,3.651324583,3.662429873,4.306999294,3.668268252
KAZ,Kazakhstan,4.164618643,4.246655495,5.717178462,5.368629701,4.5255841,4.477434629,4.902862672,3.561219725,4.192962295,4.512622029,3.786278886,3.271812369
KEN,Kenya,3.60515064,3.219702722,3.628831297,4.598098335,3.761063878,4.225791509,4.563116849,4.294820504,3.304108219,3.799656043,4.212293639,3.65043801
KOR,"Korea, Rep.",3.900529659,5.817353908,6.582268235,6.339780385,5.356829129,4.814640173,4.081757706,3.602648126,5.500610088,5.557717595,4.80479272,4.829451071
KWT,Kuwait,4.088272826,4.319844445,6.71895614,5.598248524,4.010766287,4.076476101,3.72858162,3.819502466,4.326046855,4.20024871,3.976559227,2.988231506
KGZ,Kyrgyz Republic,3.290917003,2.839182222,4.615514759,5.299006245,4.091266204,4.234867595,4.057317768,3.437407844,3.266017473,2.784319435,3.414363986,2.670444119
LAO,Lao PDR,3.866863364,3.226615254,4.732286957,5.388218528,3.244647378,4.266761637,4.453033861,3.814387444,2.762519669,2.92344373,3.650666059,2.99382442
LVA,Latvia,4.182024515,4.470620937,5.559337479,6.182244211,5.050310176,4.639600298,4.717136253,4.394975013,5.294556966,3.244095441,4.062718307,3.326969081
LBN,Lebanon,3.151924395,2.731254396,2.62708,6.283851723,4.548929045,4.425737048,3.799080245,3.760148709,3.986045204,3.641976683,4.054020065,3.103119993
LSO,Lesotho,4.235868541,2.856487102,5.142208277,3.845341068,3.179219811,4.188920644,4.163401805,2.970556078,2.672217112,1.994822212,3.575427045,3.278640684
LBR,Liberia,3.923706253,2.606823148,4.19979386,3.299936494,2.768334513,4.252951872,4.298542622,3.384485564,2.363215348,1.668776251,3.693892564,3.034502488
LTU,Lithuania,4.115457066,4.679777143,5.562005213,6.189788436,5.349385348,4.637896222,4.347515196,3.992327284,5.626873345,3.611982378,4.316302351,3.728204739
LUX,Luxembourg,5.779181059,5.659762184,6.157645217,6.204048859,4.885563482,5.536756494,4.928192248,5.039195232,6.419227737,3.177386644,5.095314827,4.976159788
MKD,"Macedonia, FYR",4.144749357,3.767445345,5.087801209,5.614808014,4.785381301,4.646755779,4.074697916,4.089761465,4.154668423,2.935799226,3.865518042,3.38080596
MDG,Madagascar,3.136356605,1.884613342,4.267152581,4.305142451,2.639878792,3.903369223,4.457929014,2.789634733,2.522189544,2.95724245,3.369817734,3.030596863
MWI,Malawi,3.599887323,2.040152545,2.435549714,4.381399934,2.532911215,3.935391863,4.599552153,3.467830189,2.382027753,2.517107849,3.366465654,2.742217193
MYS,Malaysia,5.128785123,5.506061676,5.406263816,6.332648832,4.96702804,5.422059649,4.861993845,5.156271676,4.630546672,5.045742902,5.289148095,4.816487133
MLI,Mali,3.519621528,3.070403254,4.470565714,3.165842291,2.757429263,3.980027881,3.758208029,3.421227743,2.849397041,2.826109083,3.433459199,3.099292406
MLT,Malta,4.518607854,4.65499477,5.177557685,6.332329846,4.845945297,4.588599574,4.335320875,4.372386725,5.620367813,2.607266749,4.223899394,3.495019787
MRT,Mauritania,2.640770389,2.471073791,4.350190416,3.59028522,2.133854369,3.368159277,3.182900985,2.400715614,2.680303513,2.577832654,2.719539347,2.226139629
MUS,Mauritius,4.531894567,4.794076582,4.7078467,6.109401116,4.616978302,4.852354897,4.307544563,4.416060014,4.058054885,2.781059476,4.355911311,3.229871117
MEX,Mexico,3.341862631,4.215841651,4.85139468,5.710799538,3.999733184,4.226832718,3.752486523,4.236059326,3.773461884,5.650134861,4.18118667,3.378953614
MDA,Moldova,3.198389388,3.692247632,4.855349975,5.388004271,4.09165164,4.058465071,4.073166179,3.279477569,4.388952322,2.68175098,3.29118291,2.562766328
MNG,Mongolia,3.564018804,2.859945802,3.222954386,5.719934102,4.499636854,4.241279823,4.463640425,3.038344537,3.975463196,3.037965307,3.462986174,3.098540222
MNE,Montenegro,3.891869034,3.983445181,4.615962256,6.207223113,4.579183033,4.298105155,4.183197233,4.257696789,4.329682176,2.197426849,3.615479106,3.279956544
MAR,Morocco,4.189682485,4.300648949,4.828006286,5.612188106,3.42026016,4.334551669,3.617190884,3.862013127,3.618672165,4.310775957,3.76573664,3.066413519
MOZ,Mozambique,3.179232825,2.429125773,3.660986286,3.596961282,2.353098208,3.965996956,3.959977558,2.99365386,2.662264925,3.035383724,3.368635462,3.18409203
MMR,Myanmar,2.916675479,2.086809257,4.192821855,4.606723898,2.490021266,3.617074273,4.188430248,2.401920468,2.164210735,4.16043308,2.939220463,2.474708505
