AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS
23,35,25,10,0.714,1.8,0.1,0.1,0.5,0,0,0,0.1,0.2,0.667,0.2,0.5,0.7,0,0.1,0,0.1,0,0.3,0.1,0.2,-0.3,1.1
27,20,12,8,0.6,3.7,1,1.9,0.526,0,0,0,0.6,0.7,0.923,0.3,0.8,1,0.4,0.2,0.1,0.1,0.1,0.8,0.5,2.6,-0.1,4.4
27,2,2,0,1,5.9,0,0,0,0,0,0,1,1,1,0.5,2,2.5,0,0.5,0,0,0,0.5,0.5,1,1,3.5
21,6,2,4,0.333,2.1,0.2,0.3,0.5,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0.3,-3.3,0.5
27,27,10,17,0.37,2.6,0.3,0.7,0.444,0.1,0.4,0.182,0.1,0.2,0.667,0,0.4,0.4,0,0.1,0.1,0,0,0.3,0.1,0.8,-0.3,1.4
34,6,6,0,1,2.4,0.2,0.2,1,0,0,0,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.2,0,0,0,0.2,0.2,0.5,3,1.2
23,25,12,13,0.48,3.5,0.8,1.7,0.476,0.3,0.7,0.412,0.5,0.7,0.667,0,0.3,0.3,0.2,0.2,0.2,0,0,0.6,0.4,2.4,-0.4,3.5
31,20,7,13,0.35,3,0.5,0.8,0.6,0,0,0,0.2,0.3,0.8,0.3,0.1,0.4,0.2,0.1,0.3,0.2,0.1,0.7,0.3,1.1,-0.3,3
26,9,3,6,0.333,2.3,0,0.6,0,0,0.6,0,0.6,0.8,0.714,0,0.2,0.2,0.2,0.1,0,0,0,0.1,0.4,0.6,-0.8,1
24,30,9,21,0.3,3.3,0.5,1.8,0.273,0.1,0.8,0.167,0.6,0.7,0.85,0.1,0.4,0.5,0.3,0.2,0.1,0,0.1,0.5,0.4,1.7,-2.5,2.7
30,6,3,3,0.5,1.9,0.2,0.3,0.5,0.2,0.3,0.5,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.5,0.8,0.8
30,5,5,0,1,1.7,0.4,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,2.8,0.8
23,1,1,0,1,8.6,0,1,0,0,0,0,2,2,1,0,0,0,2,0,1,0,0,0,1,2,17,8
