id,race,region,sex,degree,sibs,wrkstat,childs,hompop,earnrs,adults,educ,marital,happy,income,age,sei,maeduc,pasei,agekdbrn,paeduc,hapunhap,trust
234,2,2,2,2,2,1,2,1,1,1,14,3,2,12,55,45.8,12,-1,21,97,1,2
237,2,2,2,1,4,1,1,1,1,1,12,4,2,12,60,61.4,98,33.1,28,8,2,2
239,2,2,2,1,3,7,5,1,0,1,12,3,3,9,54,29.8,12,27.7,19,98,3,2
242,1,2,2,1,3,1,0,2,2,2,12,1,3,12,29,50.7,16,-1,0,97,3,2
243,1,2,2,1,3,1,0,2,2,2,12,1,1,12,57,63.5,12,34.2,0,12,1,2
245,1,2,2,1,1,1,1,2,1,2,12,1,2,12,35,31.5,12,38.2,32,12,2,2
249,1,8,2,1,3,5,2,1,0,1,13,2,2,13,87,38.4,8,-1,21,97,0,0
255,3,8,2,3,2,2,2,4,2,2,16,1,2,12,39,80.3,15,50.7,33,16,0,0
260,1,8,2,0,2,5,8,2,0,2,98,1,1,12,77,31.4,0,-1,21,97,0,0
261,3,8,2,1,1,2,2,2,2,2,13,1,2,12,47,60.6,16,65.8,26,18,2,2
265,1,8,2,1,4,7,5,3,0,1,10,2,2,2,55,38.4,98,44.7,15,14,0,0
266,1,8,2,1,2,3,3,4,2,2,14,2,3,12,50,36.9,14,39.4,30,12,3,1
269,1,8,2,3,1,5,3,1,0,1,18,2,1,12,74,78.5,12,63.5,24,10,1,1
273,3,8,2,1,8,6,3,4,0,1,11,5,3,9,27,36.5,0,27.5,18,0,3,2
274,1,8,2,0,5,1,1,3,2,2,6,5,2,12,28,28.6,6,37.3,27,6,1,2
275,3,8,2,1,4,6,2,2,1,2,13,5,3,10,22,33.1,11,-1,17,97,1,2
277,1,8,2,1,3,1,2,5,2,2,12,1,2,12,44,76.4,12,83.7,20,16,2,2
278,1,8,2,1,2,1,1,3,2,2,14,1,1,12,39,62.1,12,64.2,33,12,1,2
279,1,8,2,3,3,1,0,1,2,1,16,1,1,12,30,59.9,14,65.8,0,16,0,0
281,3,8,2,3,5,1,2,1,1,1,16,2,3,12,99,29.3,8,65.8,30,8,3,2
282,1,8,2,4,3,1,0,1,1,1,20,5,2,12,33,66.1,97,37.3,0,16,0,0
285,1,8,2,1,1,2,0,2,0,2,11,5,2,9,29,41.6,12,52.4,0,12,2,2
287,1,8,2,0,5,7,5,6,1,1,9,5,3,3,27,21.6,6,31.4,17,12,2,2
289,2,8,2,1,3,8,0,3,3,1,12,5,2,12,18,-1,14,35.1,0,16,1,2
293,1,8,2,0,6,7,8,6,2,3,4,1,3,12,52,-1,0,37.3,20,0,2,2
294,3,8,2,1,8,2,4,2,2,2,14,1,1,12,36,26.4,3,37.3,25,14,1,2
296,1,8,2,1,1,7,2,5,1,2,14,1,1,12,44,35.4,12,-1,38,14,2,2
297,1,8,2,0,4,5,2,2,0,2,8,1,2,13,78,27.2,97,-1,17,97,0,0
301,1,8,2,1,1,2,0,2,1,2,10,5,2,12,35,38.9,10,42,0,12,0,0
303,2,1,2,2,2,1,2,4,2,2,14,1,2,12,36,69.2,12,-1,21,14,2,2
304,2,1,2,0,9,1,1,3,3,1,11,5,2,9,26,38.5,10,-1,16,97,2,2
305,2,1,2,2,4,1,1,3,1,2,14,3,2,12,32,45.8,10,-1,29,12,0,0
307,2,1,2,0,9,6,0,3,2,2,11,5,1,12,19,-1,12,39.4,0,16,2,2
308,2,1,2,2,0,7,2,1,0,1,14,5,3,13,52,38.4,16,27.7,21,6,0,0
309,2,1,2,1,4,2,0,2,1,2,14,5,3,5,36,73.2,14,-1,0,97,1,2
310,2,1,2,1,7,1,1,2,2,2,12,1,1,12,57,53.9,12,31.4,21,12,1,1
311,2,1,2,0,3,4,1,3,2,2,11,5,3,11,24,34.2,12,64.2,17,12,3,2
312,2,1,2,1,3,1,4,4,1,1,13,4,2,12,42,37.3,18,-1,22,97,1,2
313,1,1,2,1,2,8,4,6,1,3,12,5,2,6,28,-1,12,28.4,21,98,2,2
316,2,1,2,4,7,1,1,1,1,1,18,3,2,12,43,69.2,10,42.2,22,9,1,1
318,2,1,2,1,2,2,0,2,2,1,14,1,1,6,40,26.4,11,-1,0,97,0,0
319,3,1,2,0,10,1,3,3,1,1,4,5,3,10,38,17.1,0,37.3,18,98,2,2
320,1,1,2,1,2,7,3,2,1,2,12,1,2,12,63,38.4,6,31.4,22,98,1,2
321,1,1,2,1,4,5,4,3,1,3,12,2,2,12,79,17.1,7,34.2,23,98,2,2
322,2,1,2,3,0,1,0,2,2,2,16,1,3,13,40,63.2,97,86.8,0,20,3,2
323,1,1,2,4,2,1,1,3,2,2,20,1,2,13,49,78.5,12,64.2,39,12,0,0
326,1,1,2,1,0,1,1,2,1,2,13,5,2,10,23,30.7,16,52.4,20,16,2,2
327,1,1,2,3,5,1,2,4,4,2,16,1,2,12,50,63.5,18,-1,31,97,0,0
